id,name,issued_by,is_certificate
79245690-1dbf-453b-8589-37feadc2de54,Microsoft Certified: Azure Developer Associate,Martinez-Patton,True
10997511-9153-494d-bdd9-ed789c1d31f2,Certified Ethical Hacker,Patel-Lara,True
aa828af5-d420-4bcd-9298-9b47cbebf015,AWS Certified Solutions Architect,"Carlson, Berry and Soto",True
33eb7e43-0645-4825-b041-a59d9a3385ad,Certified Data Management Professional,Sanchez PLC,True
9c8a5283-1c3d-4818-8ff9-0011f2c3a524,AWS Certified Solutions Architect,Fuller PLC,True
ff1842ec-8a7f-4bf4-bffc-966099f6d225,Certified Ethical Hacker,Taylor Inc,True
2faa6e63-a35f-4acb-91aa-c713459c23c3,CompTIA Security+,"Williams, Berg and Hall",True
b535ffcd-c889-485d-a56c-104cb1ae56cd,Cisco Certified Network Associate,"Murphy, Blair and Bean",True
8f397125-8881-4afe-9ed3-71757a5c5231,Certified Information Systems Security Professional,Vasquez and Sons,True
73719715-301f-43be-ba28-66000b3b6bbb,Certified Ethical Hacker,Leonard-Johnston,True
ca0a70c7-425c-4bb5-87d0-3f0db70d1586,Microsoft Certified: Azure Developer Associate,Durham-Mckinney,True
de66c5cf-03c7-4319-9d5d-004e3b01865b,Certified Information Systems Security Professional,Rodriguez-Hines,True
f164ecfa-ac20-4ce8-9900-9974eac25cf3,Certified Ethical Hacker,"Avery, Bowman and Fowler",True
4810ff91-4d25-4324-83f9-4ce1af84b151,Cisco Certified Network Associate,Griffin-Hayes,True
4abd2148-0e2d-4285-895a-ef1926618dc3,Cisco Certified Network Associate,Stokes PLC,True
dc908670-a1be-429a-acd8-f936994beeb5,Certified Information Systems Security Professional,Clark Group,True
2213a754-e3d1-49d4-ab3e-36dcf2f87351,Project Management Professional,Thompson-Hernandez,True
c6a7a8e5-a658-4644-97c8-82e57f0547fb,Project Management Professional,Sparks-Sullivan,True
1eacd62b-7d41-44ab-a546-e3bedf802f25,Certified ScrumMaster,Copeland-Vasquez,True
3cd5684c-b173-4510-9306-40019eb057c2,AWS Certified Solutions Architect,"Prince, Horn and Lane",True
06ddd386-9ba6-4c2a-826d-dee1efbb08d7,Cisco Certified Network Associate,Wallace-Reynolds,True
5eb90fef-e686-4ade-9c95-5c9002c36883,Certified Data Management Professional,Davis-Whitehead,True
380ea92b-0e83-4777-9a0a-2846714479c6,Microsoft Certified: Azure Developer Associate,"Rogers, Gilbert and Nelson",True
430fe4b2-7a64-4b6e-ae32-20e1551b0c87,Certified Information Systems Security Professional,"Bauer, Craig and Chang",True
766444ca-a94b-49fa-bc59-940f7ad24e40,Google Data Analytics Professional Certificate,Petersen-Oliver,True
287396fe-ad80-4aa9-82d2-81d2dbf194ba,Certified Information Systems Security Professional,Johnson-White,True
65485836-631a-4c4f-8239-a1fb3f6d9012,Certified Ethical Hacker,"Edwards, Medina and Walls",True
7107e45c-27de-4ba2-8911-66d96663cc15,CompTIA Security+,Sanchez Inc,True
6543806d-c578-4f24-a432-150cff003662,Certified ScrumMaster,Jones-Kramer,True
e668c983-7ada-40be-9c64-0ed534ead84f,Certified Ethical Hacker,Hayes-Gates,True
14f58cf0-a544-41a7-a550-831ec5656fc1,CompTIA Security+,"Cameron, Lloyd and Rodriguez",True
d19bf15d-71af-4a70-bc6c-a1a85514cbe9,Cisco Certified Network Associate,Allen-Reed,True
c9552be4-3389-4037-8976-cf008f15ddb8,Cisco Certified Network Associate,"Johnson, Walsh and Wiley",True
a8eae9d7-6fca-4279-96cb-be894403e00a,AWS Certified Solutions Architect,Holt Ltd,True
43de0ee3-d429-48ae-863c-6021d34d1041,Certified ScrumMaster,"Schwartz, Russell and Garcia",True
a09879ef-6ec2-425d-b032-29da04c0b53e,AWS Certified Solutions Architect,Patel-Graham,True
c0199288-da49-4a22-bfe3-65fa088240ab,Certified ScrumMaster,"Gallegos, Brown and Nguyen",True
96797cd4-c814-40a4-a2cd-02135b412857,Microsoft Certified: Azure Developer Associate,"Ortega, Estrada and Duncan",True
