id,name,desc,created_at,updated_at
aa522c58-2f8c-4588-9512-ecc05bf75625,Software Engineer,Skill operation quickly either thought tax accept.,2024-08-21T03:10:15,2022-02-27T11:30:54
1a71a5ca-a55b-49aa-91c2-e76fa13e8b7b,Data Scientist,Join authority matter consumer character their expect left.,2023-10-15T09:49:10,2024-07-05T15:19:02
bbca132f-1de0-4bb5-ac64-6b9d3660bec5,DevOps Engineer,Line opportunity drug edge.,2021-07-31T07:38:49,2022-08-24T11:00:22
5410503e-a894-4cca-b2db-b1d617e48eb4,Frontend Developer,Less lot start professor art.,2024-05-20T16:17:48,2022-06-18T19:57:59
7097ff87-2875-48c1-bb5d-efd164ea6e91,Backend Developer,I thus member.,2023-11-12T21:12:05,2020-01-13T04:21:31
c10327ee-e725-47fe-a0ff-d5afa1ebbd6d,Full Stack Developer,Mother treatment best.,2020-05-06T13:21:09,2020-01-07T05:53:13
25076094-ea4d-44d0-a80e-47ccdc6796cf,Data Analyst,Card between marriage law quite week if.,2022-03-08T14:01:03,2020-12-06T19:27:26
36f9c5d5-2052-4192-95ef-ff4087770318,Cybersecurity Analyst,Player buy true.,2023-12-07T15:17:31,2022-06-06T09:56:22
483768ac-dff9-4c56-8dcb-33639a6efe48,Machine Learning Engineer,Number another share half.,2024-09-26T11:51:25,2022-02-20T23:16:26
6fa29071-8cf2-49c2-a3b4-5873c3b1c081,Cloud Engineer,Put argue by road.,2024-08-03T06:27:19,2023-05-12T02:43:05
6801cd6d-6ce0-4026-b246-06acab69269e,UX/UI Designer,Capital little soon physical local.,2022-01-11T23:22:29,2022-03-24T01:26:30
5fe2569a-4ad5-4879-915d-d8134c50f809,Product Manager,Simply future save care keep population mind.,2023-08-10T11:29:13,2024-09-02T20:11:01
7509fa3b-2210-428d-86f3-113ca18a50d7,Business Analyst,He that none.,2023-12-09T06:23:10,2021-02-09T11:25:23
389b9b57-4ec2-4071-a076-65cfc20cb06f,Quality Assurance Engineer,Ball do ability back charge.,2021-09-14T20:33:33,2022-04-12T05:25:57
7394e470-44cb-4b3b-ac50-5a14a97755d6,Technical Writer,Matter response check visit identify.,2023-02-23T04:07:39,2020-08-25T18:08:49
