_id,name,issued_by,is_certificate
44c04558-35d8-4625-8ac3-39b7aa0c010c,Stephens-Barron,LLC,True
d8e24af4-d81a-4c44-8c70-d586704845ff,Cross Ltd,and Sons,True
bc38bf3a-d5f9-471c-b771-71870c042ce5,"Turner, Turner and Wall",PLC,False
cd7a43a7-5411-4623-833b-ade8c3236541,Cruz Group,Group,False
83e97da4-9ef6-4c9d-9da2-692b2ad3321d,King-Morris,and Sons,True
eb76366d-23ef-4481-940d-3bf8fe405f6a,"Walker, Roberts and Smith",LLC,True
a106be34-d483-4332-85fe-80d222f005b5,Johnson and Sons,and Sons,False
164aaac8-c74c-4e96-9170-c2500a034704,Howe and Sons,LLC,False
f68f6118-f280-4c49-b218-f8099a58c938,Hines-Robertson,Inc,True
0e4adbec-a004-4f97-990a-3388c15f1830,"Rhodes, Curry and Perez",Inc,True
96d844d4-1993-4a9b-a79b-bb252aff71e4,Holmes and Sons,Group,True
45f2be16-f88f-435a-8bf1-2b6468a96368,Lopez LLC,Inc,True
0aed9d6b-5f2a-472a-b158-c228d78abc92,"Cook, Martin and Schmitt",Ltd,False
f4b2af90-8703-4f2c-a93b-e59105fd2a30,"Green, Nelson and Shields",Inc,True
456701fa-c409-4f2e-a738-49d8023336fd,Schroeder Ltd,LLC,False
c589a8d4-ac6b-400d-9a8b-15b2f46c85d0,Swanson-Delacruz,Ltd,True
08f5cb04-bcde-4731-bd2f-acf9012645c7,Davis-Richard,Ltd,False
67f67f29-159e-4e03-b0fe-fd148236e492,Mcdonald-Adams,LLC,True
1b1aa7a7-8ec0-45ca-b1c0-dbead6736836,"Martinez, Day and Smith",LLC,False
d791c719-76bf-46cf-b717-b5d5f9263ede,"Snyder, Evans and Chambers",Ltd,False
86a6bcdf-a38a-4bbf-9d95-d06b96da0ab7,"Wallace, Hamilton and Nixon",PLC,True
369e47ed-c4fe-4d9c-b622-e97691bfd4de,Willis LLC,LLC,True
ce037c43-6016-4252-bfac-09f357cd8681,Aguilar-Mayer,LLC,True
131c068f-07e1-44cd-b7ce-d94d56a57a22,Smith PLC,Group,True
40002a8a-5e46-4c8b-898a-f1c2310a7123,Pacheco and Sons,Inc,False
d0eb3754-5f49-4725-8cd4-736b26025804,Gray PLC,PLC,False
7c6b38bd-d820-4f4a-b720-aae1dbe7e2d5,Cohen LLC,Group,True
c525f38f-705b-4d43-bf1e-7fa50e461d2f,Shea Group,LLC,True
346384b9-9e5e-4e50-8404-cc242ef9f931,Brown-Powell,Ltd,False
1c7e90a1-b010-4b22-9e86-79eb0048384a,Martin-Mejia,PLC,True
eaadfe2e-9160-46ec-b3cc-a30c41ec0c3c,"Myers, Spears and Mendoza",Ltd,False
902a0853-bc41-4a19-a094-114f44f11f9b,Chase-Austin,Ltd,False
216b2810-8aad-4b08-a09c-609a747b70bf,"Smith, Thomas and Rivera",LLC,False
e7e6de46-ae33-423c-9e54-4fb322f49630,Collins Group,PLC,True
d3935f0b-a520-42d4-8411-1db4909b1ee2,"Martin, Weiss and Griffith",and Sons,False
7e743e10-a6db-494c-8fba-75fd891a7138,"Santiago, Mullins and Gallegos",PLC,True
c7152a9a-e1b0-46f9-81fa-92dc32a3be95,Moore-Castaneda,Inc,True
fe31c4d3-2b45-477c-919a-e348841c7fce,Huffman-Stone,and Sons,False
88661c03-491c-4cfb-8857-cde351f37694,Riley-Blair,LLC,True
38370a45-1b97-4da0-8f14-50e8a6b03e19,Richard-Baker,Group,True
ba548697-1bdb-4278-8021-43084a48a373,"Williams, Sanford and Anderson",PLC,True
1b4c678b-8ee0-4f3b-9dfe-3d92e5a54b77,Griffith-Williams,Ltd,True
5ea5d0de-f11c-430b-9963-31414d48b813,Bowman-Herring,Ltd,True
5e8cab67-42c6-404a-a00b-9e3f3a841458,Smith Inc,Inc,False
fb5a0389-0f7a-4ab0-888a-07217ff24ed8,Bell Inc,Inc,True
e9035158-4575-4630-b1c3-8c7d73ca28d0,"Brooks, Fowler and Allen",Group,False
501f93ef-944d-4df3-a325-6416216193cf,Juarez-Sullivan,Ltd,False
196982ed-a409-4479-9eff-da1df5a5340f,Edwards-Smith,and Sons,False
ac71f035-ae41-47d5-93d1-80c4438a4b82,Dean PLC,Inc,False
c0862ca1-5157-4965-a1eb-3bdd441d33d9,Jones Ltd,Ltd,True
f4cc96d7-3489-4750-af76-2d22bb8c293d,Lee-Burke,and Sons,True
16e01cd5-f5c2-455b-a06a-34ffb5764e25,Bond LLC,and Sons,False
f4258b64-487c-4881-aaf1-5f379ef03146,Tran Group,PLC,True
6d37d9c6-2ec1-4290-ace5-8ddd403abdbf,"Holt, Lopez and Osborne",Group,True
1ea3fde0-d2a5-40ca-a46d-41bf841c601e,Gardner-Johnson,and Sons,False
bef29f3a-3bfe-45df-a323-c3b88061efb9,Weeks-Lewis,PLC,True
bb2f4a27-9f19-4f7a-97a9-dba957e5cf8c,Guzman Inc,PLC,True
94e6c238-e334-40e5-87ff-fff2e64ceb1a,Perkins and Sons,Ltd,False
f02379e5-05b8-434a-b76e-6fe00d0cd6ac,Davis LLC,and Sons,False
d11ed549-2f3f-4671-bcec-58957c9bb17c,"Robinson, Hill and Kelly",and Sons,True
e5bba777-dac3-4b7d-a972-d250ddcfe7d8,Tran Group,and Sons,True
4458e12a-3ad8-4018-8bcc-4e754e578d6c,Chan-Bush,LLC,False
50b225d6-f681-419f-844d-5a65de740979,Becker-Wagner,Inc,True
9d67ef6b-5884-4445-bafc-07fc0fb3cc4b,"Smith, Thomas and Walton",and Sons,False
3b3cbe79-e517-4f86-aa65-ad7d2c21aba8,Nguyen and Sons,Inc,False
fd2f45a2-c77a-4fc3-91ef-36a84dd7aac9,Snyder Group,LLC,True
6ee1cf8c-8f96-4c32-a36c-f7a0df503dd7,Smith and Sons,Inc,False
0495e513-ae97-4b21-8eba-1a7b6ac8e162,Ferrell-Ortega,Inc,False
0e3c3381-47b6-457e-9e88-913a4e04a981,Wong-Ali,and Sons,False
f97ea8ce-f128-471c-a569-927ee6e7b6b9,"Wallace, Ramirez and Smith",Group,True
8bbc0f41-5ecd-4fc1-b3a2-eff5f4030a5d,Garcia and Sons,PLC,True
ffdc11c5-3bf1-438d-a59a-51e8db86dd3d,"Scott, Woods and Black",and Sons,True
6d9c4eaf-daac-43ae-854c-43dbf7a57c98,"Mitchell, May and Allen",LLC,False
52a2d103-6b1f-4f77-a781-f20deac01ad3,"Winters, Powers and Lyons",Group,False
68d9fe54-0f65-4dc0-a82c-622e659a1321,"Rodriguez, Gilbert and Donaldson",LLC,False
49d90b7c-5dca-4baa-9fd5-d65d2fcb7255,Huynh Ltd,PLC,True
a2fb0024-bbcd-4436-8ba9-049fbf71aa4a,"Franklin, Matthews and Hill",Inc,True
003b271e-ecc6-4a8d-87d3-86b5b15004d1,Woodard and Sons,Inc,False
59858982-c976-4094-8264-773f6fa9a45e,Woods and Sons,Ltd,False
a2961d14-08f7-4e0f-8ef2-a0483f8e090d,Lamb PLC,and Sons,True
ea4d51fc-a878-451c-b262-31a6202b8b45,Romero Group,and Sons,False
5d7a59fc-b3e8-4aab-8f36-3381df669e1c,Foley LLC,and Sons,True
95ce326f-71cc-4cc3-8ce4-c14bca8dd338,"Clark, Fischer and Pope",Inc,False
8da34142-12a7-4164-baf8-698d13e08baf,Butler PLC,and Sons,True
7090a130-4fa2-48ca-bcd5-7c3743519d9d,Boyd-Frazier,LLC,True
eaf33efb-cc52-4958-aff9-ab988f86be99,Barrett-Payne,Inc,False
cc024b6e-3e87-4ac7-8110-250389173502,"Thomas, Ewing and Jones",LLC,False
2766b114-0ccb-4617-85ea-cf7fc54dee34,Gordon PLC,PLC,True
dbe71e7c-5444-4fbc-9428-5517368f1720,"Peterson, Smith and Aguilar",Inc,False
bdbf0179-2894-4df0-a26f-398c520f55bc,Curtis-Strong,Inc,False
44abefd0-5c20-4559-85b5-399331663012,"Skinner, Smith and Whitaker",Ltd,True
b0facf81-b830-4c88-9442-5359e7f4bad0,Melendez-Marsh,PLC,True
605cf763-664b-4dac-a9bd-74685e38a307,Delgado and Sons,and Sons,True
21a53df8-0efa-497a-8adc-495a333388de,Ayala and Sons,Ltd,True
180045ce-8adf-4b49-8c40-a5d378effcd1,"Kelly, Young and Wall",Ltd,False
efee7273-85cc-46e0-b4b4-822d67a5f9a4,"Morse, Guzman and Burnett",PLC,True
e6c5bd24-fcbf-456d-ba06-20867f686515,"Riddle, Singh and Garrett",PLC,True
7039ae0f-1ade-4560-b06d-9849fcfbee24,Crawford-Serrano,Ltd,True
a5471f6d-31a6-407a-81fa-8d8e559c90a8,"Johnson, Harris and Hood",LLC,True
d15a1b5b-4b2b-40e4-8166-8bba0e0eef70,Cox-Miller,Group,True
