,_id,name,desc,created_at,updated_at,roleId,skill_count
0,4a7cdfaf-b436-46e2-a8a2-5dc4835d40b9,Software Engineer,Him matter fall.,2022-06-04,2023-07-07,4a7cdfaf-b436-46e2-a8a2-5dc4835d40b9,10
1,1a52dd70-8466-4e47-8600-1677136f4fec,Data Scientist,Record data never raise feel.,2022-07-29,2021-12-10,1a52dd70-8466-4e47-8600-1677136f4fec,10
2,e35f4200-b9f8-44c1-b417-09d833a343d9,DevOps Engineer,Republican almost hospital size sport.,2021-05-05,2024-08-18,e35f4200-b9f8-44c1-b417-09d833a343d9,10
3,c581ca4e-3b3e-47fe-b1c1-ac3dcaf75783,Frontend Developer,End measure town mention design at by.,2024-08-08,2021-10-09,c581ca4e-3b3e-47fe-b1c1-ac3dcaf75783,10
4,196c18a9-4aef-4755-a3ee-4b6f418c71e3,Backend Developer,These federal box ok enter adult.,2023-02-20,2024-06-09,196c18a9-4aef-4755-a3ee-4b6f418c71e3,10
5,791867b5-ae38-44aa-b2b0-c258b4f25afb,Full Stack Developer,Chair these her out adult nature.,2024-10-03,2022-12-06,791867b5-ae38-44aa-b2b0-c258b4f25afb,10
6,83f4c079-c440-4fa4-b5f5-a75d22347cc4,Data Analyst,Those will community fall today.,2020-05-16,2020-06-13,83f4c079-c440-4fa4-b5f5-a75d22347cc4,10
7,2ff032a8-e315-4073-afa5-9906c87db625,Cybersecurity Analyst,Pressure loss arrive.,2022-02-13,2022-10-21,2ff032a8-e315-4073-afa5-9906c87db625,10
8,d70499b1-0629-47f6-ad56-cd859093daf9,Machine Learning Engineer,Stop hotel hard business practice answer civil build.,2022-12-07,2021-03-21,d70499b1-0629-47f6-ad56-cd859093daf9,10
9,ccb4b4f9-80cb-4f1b-9ae8-f16d9da11659,Cloud Engineer,Some born sound article sport face.,2020-07-10,2020-01-21,ccb4b4f9-80cb-4f1b-9ae8-f16d9da11659,10
10,4e0c4606-0668-4356-bb17-e3b13140c28e,UX/UI Designer,Agent response heart product pattern.,2021-07-12,2024-02-02,4e0c4606-0668-4356-bb17-e3b13140c28e,10
11,7b9c2b3e-e21e-463b-83c5-04e5cc2e720d,Product Manager,Hope wish dinner range.,2021-01-06,2022-01-02,7b9c2b3e-e21e-463b-83c5-04e5cc2e720d,10
12,9cfc890c-5d4f-414a-9de6-6b411d75624a,Business Analyst,May land church president whether career.,2022-07-14,2020-02-17,9cfc890c-5d4f-414a-9de6-6b411d75624a,10
13,73f8078d-03a9-46a9-a5cb-efabc4099cd3,Quality Assurance Engineer,Upon entire couple result.,2021-11-24,2022-07-08,73f8078d-03a9-46a9-a5cb-efabc4099cd3,10
14,663c1743-1dc9-4c1a-8200-701078aefaf8,Technical Writer,Central give too down cell feeling.,2020-10-08,2022-08-25,663c1743-1dc9-4c1a-8200-701078aefaf8,10
